226,"AG","ALV","SSL","515",4,6,,
191,"AG","HER","BB","Mu 2",5,6,,
191,"AG","MÖL","ORC","AULA",5,6,,
192,"AG","WÖR","MCO","AULA",1,6,,
192,"AG","MÖL","UCO","Mu 1",1,6,,
193,"AG","WÖR","OCO","AULA",4,8,,
195,"AG","PRN","LR","ESZ",2,4,,
195,"AG","LIC","LR","ESZ",2,4,,
195,"AG","MAR","LR","ESZ",2,4,,
195,"AG","WEB","LR","ESZ",2,4,,
195,"AG","KRS","LR","ESZ",2,4,,
195,"AG","MOR","LR","ESZ",2,4,,
196,"AG","KRS","ESL","ESZ",2,5,,
196,"AG","MOR","ESL","ESZ",2,5,,
196,"AG","HER","ESL","ESZ",2,5,,
196,"AG","HNZ","ESL","ESZ",2,5,,
196,"AG","HIM","ESL","ESZ",2,5,,
196,"AG","KLF","ESL","ESZ",2,5,,
196,"AG","KLU","ESL","ESZ",2,5,,
196,"AG","MEN","ESL","ESZ",2,5,,
196,"AG","SCH","ESL","ESZ",2,5,,
196,"AG","SLF","ESL","ESZ",2,5,,
236,"5b","BÖL","D","144",1,1,,
236,"5b","BÖL","D","144",3,4,,
236,"5b","BÖL","D","144",5,3,,
237,"5b","KRA","PK","144",1,3,,
238,"5b","KLN","M","144",2,4,,
238,"5b","KLN","M","144",3,3,,
238,"5b","KLN","M","144",4,4,,
238,"5b","KLN","M","144",5,2,,
239,"5b","EWE","BI","538",2,1,,
239,"5b","EWE","BI","532",3,2,,
240,"5b","KEU","E5","144",1,2,,
240,"5b","KEU","E5","144",3,1,,
240,"5b","KEU","E5","144",5,1,,
241,"5b","WEL","KU","Ku 1",1,4,,
241,"5b","WEL","KU","Ku 1",4,3,,
242,"5b","KRA","ORI","144",4,2,,
243,"5b","LAS","SP","gr SpH",2,2,,
243,"5b","LAS","SP","gr SpH",3,5,,
243,"5b","LAS","SP","gr SpH",5,4,,
244,"5b","WÖR","MU","Mu 1",4,1,,
245,"5c","KLU","D","127",2,4,,
245,"5c","KLU","D","127",3,3,,
245,"5c","KLU","D","127",4,3,,
246,"5c","MAY","PK","127",1,2,,
247,"5c","HIN","M","127",1,3,,
247,"5c","HIN","M","127",2,2,,
247,"5c","HIN","M","127",4,4,,
247,"5c","HIN","M","127",5,1,,
248,"5c","KLF","BI","538",3,2,,
248,"5c","KLF","BI","538",5,4,,
